领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),410,韩国,5910,出口数量,1221,西瓜,2022,2022,t,135.3,A,Officialfigure,
SCL,供应利用账目(2010-),410,韩国,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,436816.26,E,Estimatedvalue,
SCL,供应利用账目(2010-),410,韩国,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,4.73,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),410,韩国,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,23.1,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),50,孟加拉国,5610,进口数量,1221,西瓜,2022,2022,t,13.49,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),50,孟加拉国,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,13.49,E,Estimatedvalue,
SCL,供应利用账目(2010-),50,孟加拉国,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),50,孟加拉国,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,0,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),524,尼泊尔,5610,进口数量,1221,西瓜,2022,2022,t,24490.92,A,Officialfigure,
SCL,供应利用账目(2010-),524,尼泊尔,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,24488.39,E,Estimatedvalue,
SCL,供应利用账目(2010-),524,尼泊尔,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0.45,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),524,尼泊尔,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,2.2,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),48,巴林,5510,Production,1221,西瓜,2022,2022,t,253.89,I,Imputedvalue,
SCL,供应利用账目(2010-),48,巴林,5610,进口数量,1221,西瓜,2022,2022,t,25112.12,A,Officialfigure,
SCL,供应利用账目(2010-),48,巴林,5910,出口数量,1221,西瓜,2022,2022,t,16.34,A,Officialfigure,
SCL,供应利用账目(2010-),48,巴林,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,25296.4,E,Estimatedvalue,
SCL,供应利用账目(2010-),48,巴林,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,9.63,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),48,巴林,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,47.07,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),586,巴基斯坦,5510,Production,1221,西瓜,2022,2022,t,1578259,A,Officialfigure,
SCL,供应利用账目(2010-),586,巴基斯坦,5610,进口数量,1221,西瓜,2022,2022,t,1925.83,A,Officialfigure,
SCL,供应利用账目(2010-),586,巴基斯坦,5910,出口数量,1221,西瓜,2022,2022,t,2895.69,A,Officialfigure,
SCL,供应利用账目(2010-),586,巴基斯坦,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,1457930.02,E,Estimatedvalue,
SCL,供应利用账目(2010-),586,巴基斯坦,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,3.47,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),586,巴基斯坦,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,16.94,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),144,斯里兰卡,5910,出口数量,1221,西瓜,2022,2022,t,50.02,A,Officialfigure,
SCL,供应利用账目(2010-),144,斯里兰卡,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,0,E,Estimatedvalue,
SCL,供应利用账目(2010-),144,斯里兰卡,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),144,斯里兰卡,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,0,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),392,日本,5510,Production,1221,西瓜,2022,2022,t,298726.1,I,Imputedvalue,
SCL,供应利用账目(2010-),392,日本,5610,进口数量,1221,西瓜,2022,2022,t,677.36,A,Officialfigure,
SCL,供应利用账目(2010-),392,日本,5910,出口数量,1221,西瓜,2022,2022,t,96.8,A,Officialfigure,
SCL,供应利用账目(2010-),392,日本,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,248489.66,E,Estimatedvalue,
SCL,供应利用账目(2010-),392,日本,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,1.12,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),392,日本,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,5.49,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),116,柬埔寨,5610,进口数量,1221,西瓜,2022,2022,t,1.28,A,Officialfigure,
SCL,供应利用账目(2010-),116,柬埔寨,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,1.28,E,Estimatedvalue,
SCL,供应利用账目(2010-),116,柬埔寨,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),116,柬埔寨,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,0,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),268,格鲁吉亚,5510,Production,1221,西瓜,2022,2022,t,59800,A,Officialfigure,
SCL,供应利用账目(2010-),268,格鲁吉亚,5610,进口数量,1221,西瓜,2022,2022,t,14259.17,A,Officialfigure,
SCL,供应利用账目(2010-),268,格鲁吉亚,5910,出口数量,1221,西瓜,2022,2022,t,1718.81,A,Officialfigure,
SCL,供应利用账目(2010-),268,格鲁吉亚,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,25835.76,E,Estimatedvalue,
SCL,供应利用账目(2010-),268,格鲁吉亚,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,3.87,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),268,格鲁吉亚,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,18.9,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),682,沙特阿拉伯,5510,Production,1221,西瓜,2022,2022,t,605000,A,Officialfigure,
